RA,Fase,Turma,Nome,Ano nasc,Idade 22,Genero,Ano ingresso,Instituição de ensino,Pedra 20,Pedra 21,Pedra,INDE,Cg,Cf,Ct,Nº Av,Avaliador1,Rec Av1,Avaliador2,Rec Av2,Avaliador3,Rec Av3,Avaliador4,Rec Av4,IAA,IEG,IPS,Rec Psicologia,IDA,Matem,Portug,Inglês,Indicado,IPV,IAN,Fase ideal,Defas,Destaque IEG,Destaque IDA,Destaque IPV,ANO,Atingiu_PV
RA-26,6,A,Aluno-26,2005,17,Menino,2022,Escola Pública,,,TOPAZIO,8.677,"17,000",3,3,4,Avaliador-5,Promovido de Fase,Avaliador-27,Promovido de Fase + Bolsa,Avaliador-28,Mantido na Fase + Bolsa,Avaliador-31,Promovido de Fase + Bolsa,9.6,8.8,10.0,Sem limitações,8.0,"9,5","4,4","10,0",Sim,10.0,5.0,Fase 7 (3º EM),-1,Destaque: A sua boa entrega das lições de casa.,Destaque: As suas boas notas na Passos Mágicos.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,2022,1
RA-27,6,A,Aluno-27,2005,17,Menino,2016,Rede Decisão,Topázio,Ametista,AMETISTA,7.124,"449,000",12,12,4,Avaliador-5,Promovido de Fase,Avaliador-27,Promovido de Fase + Bolsa,Avaliador-28,Promovido de Fase + Bolsa,Avaliador-31,Promovido de Fase + Bolsa,0.0,7.6,8.1,Sem limitações,8.0,"7,7","6,3","10,0",Não,9.111,5.0,Fase 7 (3º EM),-1,Destaque: A sua boa entrega das lições de casa.,Destaque: As suas boas notas na Passos Mágicos.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,2022,1
RA-28,6,A,Aluno-28,2005,17,Menina,2019,Escola Pública,Ametista,Ametista,AGATA,6.242,"698,000",14,14,4,Avaliador-5,Promovido de Fase,Avaliador-27,Mantido na Fase atual,Avaliador-28,Mantido na Fase atual,Avaliador-31,Promovido de Fase,7.9,6.1,7.5,Requer avaliação,5.0,"8,2","1,5","5,3",Não,6.333,5.0,Fase 7 (3º EM),-1,Melhorar: Melhorar a sua entrega de lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,2022,0
RA-29,6,A,Aluno-29,2005,17,Menino,2022,Escola Pública,,,QUARTZO,4.985,"821,000",16,16,4,Avaliador-5,Promovido de Fase,Avaliador-27,Mantido na Fase + Bolsa,Avaliador-28,Mantido na Fase atual,Avaliador-31,Alocado em Fase anterior,0.0,4.0,8.8,Requer avaliação,3.7,"6,3","1,1","3,8",Sim,7.611,5.0,Fase 7 (3º EM),-1,Melhorar: Melhorar a sua entrega de lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,2022,0
RA-30,6,A,Aluno-30,2006,16,Menina,2021,Escola Pública,,Ametista,AMETISTA,7.605,"270,000",9,9,4,Avaliador-5,Promovido de Fase,Avaliador-27,Mantido na Fase atual,Avaliador-28,Promovido de Fase,Avaliador-31,Promovido de Fase,8.8,6.4,7.5,Sem limitações,7.5,"8,5","4,4","9,7",Não,7.333,10.0,Fase 6 (2º EM),0,Melhorar: Melhorar a sua entrega de lições de casa.,Destaque: As suas boas notas na Passos Mágicos.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,2022,0
RA-31,6,A,Aluno-31,2005,17,Menina,2019,Rede Decisão,Topázio,Topázio,TOPAZIO,8.843,"9,000",2,2,4,Avaliador-5,Promovido de Fase,Avaliador-27,Promovido de Fase + Bolsa,Avaliador-28,Promovido de Fase + Bolsa,Avaliador-31,Promovido de Fase + Bolsa,10.0,9.5,9.4,Sem limitações,8.0,"9,0","5,7","9,3",Não,10.0,5.0,Fase 7 (3º EM),-1,Destaque: A sua boa entrega das lições de casa.,Destaque: As suas boas notas na Passos Mágicos.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,2022,1
RA-32,6,A,Aluno-32,2006,16,Menina,2018,Rede Decisão,Ametista,Ametista,AMETISTA,7.37,"370,000",11,11,4,Avaliador-5,Promovido de Fase,Avaliador-27,Mantido na Fase atual,Avaliador-28,Mantido na Fase atual,Avaliador-31,Promovido de Fase,8.8,5.2,8.8,Sem limitações,6.1,"5,7","3,6","8,9",Não,7.944,10.0,Fase 6 (2º EM),0,Melhorar: Melhorar a sua entrega de lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,2022,0
RA-33,6,A,Aluno-33,2005,17,Menina,2020,Escola Pública,Ágata,Ametista,QUARTZO,4.952,"824,000",17,17,4,Avaliador-5,Promovido de Fase,Avaliador-27,Mantido na Fase atual,Avaliador-28,Mantido na Fase atual,Avaliador-31,Promovido de Fase,0.0,4.6,7.5,Sem limitações,4.8,"9,0","1,6","3,7",Não,6.0,5.0,Fase 7 (3º EM),-1,Melhorar: Melhorar a sua entrega de lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,2022,0
RA-34,6,A,Aluno-34,2005,17,Menino,2016,Rede Decisão,Ametista,Ametista,AGATA,6.259,"692,000",13,13,4,Avaliador-5,Promovido de Fase,Avaliador-27,Promovido de Fase + Bolsa,Avaliador-28,Promovido de Fase,Avaliador-31,Promovido de Fase + Bolsa,9.6,4.8,8.1,Sem limitações,3.8,"4,7","4,0","2,8",Não,7.278,5.0,Fase 7 (3º EM),-1,Melhorar: Melhorar a sua entrega de lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,2022,0
RA-35,6,A,Aluno-35,2005,17,Menina,2019,Rede Decisão,Ametista,Topázio,TOPAZIO,8.965,"5,000",1,1,4,Avaliador-5,Promovido de Fase,Avaliador-27,Promovido de Fase + Bolsa,Avaliador-28,Promovido de Fase + Bolsa,Avaliador-31,Promovido de Fase + Bolsa,10.0,9.6,9.4,Sem limitações,8.5,"9,0","7,1","9,3",Não,10.0,5.0,Fase 7 (3º EM),-1,Destaque: A sua boa entrega das lições de casa.,Destaque: As suas boas notas na Passos Mágicos.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,2022,1
RA-36,6,A,Aluno-36,2005,17,Menina,2019,Rede Decisão,Topázio,Ametista,AMETISTA,7.876,"177,000",7,7,4,Avaliador-5,Promovido de Fase,Avaliador-27,Promovido de Fase + Bolsa,Avaliador-28,Mantido na Fase + Bolsa,Avaliador-31,Promovido de Fase + Bolsa,9.2,9.0,6.9,Sem limitações,6.8,"8,5","4,3","7,8",Não,8.944,5.0,Fase 7 (3º EM),-1,Destaque: A sua boa entrega das lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,2022,1
RA-37,6,A,Aluno-37,2005,17,Menina,2019,Rede Decisão,Ametista,Ágata,QUARTZO,4.95,"825,000",18,18,4,Avaliador-5,Promovido de Fase,Avaliador-27,Mantido na Fase atual,Avaliador-28,Mantido na Fase + Bolsa,Avaliador-31,Promovido de Fase,0.0,5.4,5.0,Sem limitações,5.9,"2,3","5,3","10,0",Não,5.222,5.0,Fase 7 (3º EM),-1,Melhorar: Melhorar a sua entrega de lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,2022,0
RA-38,6,A,Aluno-38,2005,17,Menina,2017,Rede Decisão,Ametista,Ametista,TOPAZIO,8.523,"31,000",4,4,4,Avaliador-5,Promovido de Fase,Avaliador-27,Promovido de Fase + Bolsa,Avaliador-28,Promovido de Fase + Bolsa,Avaliador-31,Promovido de Fase + Bolsa,9.2,8.9,7.5,Não indicado,8.6,"9,0","7,0","9,7",Não,9.833,5.0,Fase 7 (3º EM),-1,Destaque: A sua boa entrega das lições de casa.,Destaque: As suas boas notas na Passos Mágicos.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,2022,1
RA-39,6,A,Aluno-39,2006,16,Menina,2017,Rede Decisão,Ametista,Ametista,AGATA,6.033,"722,000",15,15,4,Avaliador-5,Promovido de Fase,Avaliador-27,Mantido na Fase atual,Avaliador-28,Promovido de Fase,Avaliador-31,Promovido de Fase,0.0,4.8,6.9,Requer avaliação,6.9,"7,7","5,1","7,8",Não,6.111,10.0,Fase 6 (2º EM),0,Melhorar: Melhorar a sua entrega de lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,2022,0
RA-40,5,A,Aluno-40,2006,16,Menina,2016,Rede Decisão,Ametista,Ágata,AMETISTA,7.203,"429,000",27,3,3,Avaliador-5,Promovido de Fase,Avaliador-27,Mantido na Fase atual,Avaliador-24,Promovido de Fase + Bolsa,Avaliador-31,,7.9,7.8,7.5,Sem limitações,6.8,"4,7","7,3","8,4",Não,7.75,5.0,Fase 6 (2º EM),-1,Destaque: A sua boa entrega das lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,2022,0
RA-41,5,A,Aluno-41,2005,17,Menino,2018,Escola Pública,Ágata,Ágata,QUARTZO,5.581,"777,000",51,9,3,Avaliador-5,Mantido na Fase atual,Avaliador-27,Mantido na Fase atual,Avaliador-24,Mantido na Fase atual,Avaliador-31,,9.2,6.1,5.0,Requer avaliação,5.6,"6,3","2,5","8,0",Não,4.375,5.0,Fase 7 (3º EM),-2,Melhorar: Melhorar a sua entrega de lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,2022,0
RA-42,5,A,Aluno-42,2007,15,Menino,2019,Rede Decisão,Topázio,Ametista,AGATA,6.72,"582,000",33,5,3,Avaliador-5,Mantido na Fase atual,Avaliador-27,Mantido na Fase atual,Avaliador-24,Promovido de Fase,Avaliador-31,,8.3,7.9,5.6,Requer avaliação,4.8,"3,7","4,5","6,2",Não,6.083,10.0,Fase 5 (1º EM),0,Destaque: A sua boa entrega das lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,2022,0
RA-43,5,A,Aluno-43,2006,16,Menina,2019,Escola Pública,Ametista,Ágata,QUARTZO,5.486,"791,000",54,11,3,Avaliador-5,Mantido na Fase atual,Avaliador-27,Mantido na Fase atual,Avaliador-24,Alocado em Fase anterior,Avaliador-31,,6.3,6.5,5.6,Requer avaliação,4.3,"4,0","5,8","3,2",Não,5.958,5.0,Fase 6 (2º EM),-1,Melhorar: Melhorar a sua entrega de lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,2022,0
RA-44,5,A,Aluno-44,2005,17,Menina,2021,Escola Pública,,Ametista,QUARTZO,5.542,"785,000",52,10,3,Avaliador-5,Mantido na Fase atual,Avaliador-27,Mantido na Fase atual,Avaliador-24,Mantido na Fase + Bolsa,Avaliador-31,,5.0,5.9,7.5,Sem limitações,3.0,"2,3","3,5","3,2",Sim,7.292,5.0,Fase 7 (3º EM),-2,Melhorar: Melhorar a sua entrega de lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,2022,0
RA-45,5,A,Aluno-45,2007,15,Menina,2019,Rede Decisão,Ametista,Topázio,AMETISTA,7.591,"277,000",17,2,3,Avaliador-5,Promovido de Fase,Avaliador-27,Mantido na Fase atual,Avaliador-24,Promovido de Fase + Bolsa,Avaliador-31,,7.9,8.9,5.6,Requer avaliação,6.8,"6,3","5,2","8,8",Não,7.417,10.0,Fase 5 (1º EM),0,Destaque: A sua boa entrega das lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,2022,0
RA-46,5,A,Aluno-46,2005,17,Menina,2022,Escola Pública,,,AGATA,6.048,"719,000",46,7,3,Avaliador-5,Mantido na Fase atual,Avaliador-27,Mantido na Fase atual,Avaliador-24,Mantido na Fase atual,Avaliador-31,,8.8,8.4,6.3,Sem limitações,2.1,"2,8","2,8","0,7",Não,7.083,5.0,Fase 7 (3º EM),-2,Destaque: A sua boa entrega das lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,2022,0
RA-47,5,A,Aluno-47,2005,17,Menina,2022,Escola Pública,,,QUARTZO,5.677,"762,000",49,8,3,Avaliador-5,Mantido na Fase atual,Avaliador-27,Mantido na Fase atual,Avaliador-24,Mantido na Fase atual,Avaliador-31,,7.9,6.3,7.5,Sem limitações,2.1,"2,5","2,2","1,5",Não,7.042,5.0,Fase 7 (3º EM),-2,Melhorar: Melhorar a sua entrega de lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,2022,0
